Output File                                                         Name                                 Type        FSH File                                                            Lines
Bundle-ExamplePatientMatchOutputBundle.json                         ExamplePatientMatchOutputBundle      Instance    Examples\ExamplePatientMatchOutputBundle.fsh                        1 - 107
CodeSystem-AnnotationCategory.json                                  AnnotationCategory                   CodeSystem  CodeSystem\AnnotationCategory.fsh                                   1 - 18
CodeSystem-ConceptDesignationUse.json                               ConceptDesignationUse                CodeSystem  CodeSystem\ConceptDesignationUse.fsh                                1 - 18
CodeSystem-DuplicateMatchCriteria.json                              DuplicateMatchCriteria               CodeSystem  CodeSystem\DuplicateMatchCriteria.fsh                               1 - 23
CodeSystem-DuplicateMatchTriggerReasons.json                        DuplicateMatchTriggerReasons         CodeSystem  CodeSystem\DuplicateMatchTriggerReasons.fsh                         1 - 16
CodeSystem-FacilityAssociationType.json                             FacilityAssociationType              CodeSystem  CodeSystem\FacilityAssociationType.fsh                              1 - 16
CodeSystem-OrganizationType.json                                    OrganizationType                     CodeSystem  CodeSystem\OrganizationType.fsh                                     1 - 336
CodeSystem-PersonalInformation.json                                 PersonalInformation                  CodeSystem  CodeSystem\PersonalInformation.fsh                                  1 - 16
CodeSystem-ProcessingStatus.json                                    ProcessingStatus                     CodeSystem  CodeSystem\ProcessingStatus.fsh                                     1 - 26
CodeSystem-RegionKeys.json                                          RegionKeys                           CodeSystem  CodeSystem\RegionKeys.fsh                                           1 - 11294
CodeSystem-RelatedPersonRelationshipType.json                       RelatedPersonRelationshipType        CodeSystem  CodeSystem\RelatedPersonRelationshipType.fsh                        1 - 20
CodeSystem-Relevance.json                                           Relevance                            CodeSystem  CodeSystem\Relevance.fsh                                            1 - 17
CodeSystem-ResourceResponsibility.json                              ResourceResponsibility               CodeSystem  CodeSystem\ResourceResponsibility.fsh                               1 - 417
CodeSystem-ResourceVisibilityType.json                              ResourceVisibilityType               CodeSystem  CodeSystem\ResourceVisibilityType.fsh                               1 - 38
CodeSystem-Salutation.json                                          Salutation                           CodeSystem  CodeSystem\Salutation.fsh                                           1 - 19
Communication-Communication441557618.json                           Communication441557618               Instance    Examples\Communication-441557618.fsh                                1 - 56
ConceptMap-AdminGenderEngToGenderAmtDe.json                         AdminGenderEngToGenderAmtDe          Instance    ConceptMap\AdminGenderEngToGenderAmtDe.fsh                          1 - 45
DocumentReference-Attachment-441557620.json                         Attachment-441557620                 Instance    Examples\DocumentReference-441557620.fsh                            1 - 36
DocumentReference-Attachment-4691067.json                           Attachment-4691067                   Instance    Examples\DocumentReference-4691067.fsh                              1 - 18
NamingSystem-EmigaFileNumber.json                                   EmigaFileNumber                      Instance    NamingSystem\EmigaFileNumber.fsh                                    1 - 13
NamingSystem-EmigaID.json                                           EmigaID                              Instance    NamingSystem\EmigaID.fsh                                            1 - 13
NamingSystem-SurvNetFileNumber.json                                 SurvNetFileNumber                    Instance    NamingSystem\SurvNetFileNumber.fsh                                  1 - 12
Patient-AffectedPerson-4551.json                                    AffectedPerson-4551                  Instance    Examples\Patient-AffectedPerson-4551.fsh                            1 - 128
Patient-AffectedPerson4550.json                                     AffectedPerson4550                   Instance    Examples\Patient-AffectedPerson-4550.fsh                            1 - 158
Practitioner-EmigaUser-001.json                                     EmigaUser-001                        Instance    Examples\Practitioner-EmigaUser-001.fsh                             1 - 16
RelatedPerson-RelatedPerson4551.json                                RelatedPerson4551                    Instance    Examples\RelatedPerson-4551.fsh                                     1 - 30
StructureDefinition-AdditionalPropertiesQuestionnaire.json          AdditionalPropertiesQuestionnaire    Profile     StructureDefinitions\AdditionalPropertiesQuestionnaire.fsh          1 - 20
StructureDefinition-AdditionalPropertiesQuestionnaireResponse.json  OutbreakQuestionnaireResponseCommon  Profile     StructureDefinitions\AdditionalPropertiesQuestionnaireResponse.fsh  1 - 46
StructureDefinition-AffectedPerson.json                             AffectedPerson                       Profile     StructureDefinitions\AffectedPerson.fsh                             1 - 210
StructureDefinition-AffectedPersonRelatedPerson.json                AffectedPersonRelatedPerson          Profile     StructureDefinitions\AffectedPersonRelatedPerson.fsh                1 - 26
StructureDefinition-AnnotationCommunication.json                    AnnotationCommunication              Profile     StructureDefinitions\AnnotationCommunication.fsh                    1 - 145
StructureDefinition-AttachmentDocumentReference.json                AttachmentDocumentReference          Profile     StructureDefinitions\AttachmentDocumentReference.fsh                1 - 122
StructureDefinition-DateCreated.json                                DateCreated                          Extension   Extensions\ExtensionDateCreated.fsh                                 1 - 15
StructureDefinition-DuplicateMatchMetadata.json                     DuplicateMatchMetadata               Extension   Extensions\ExtensionDuplicateMatchMetadata.fsh                      1 - 74
StructureDefinition-EmigaUserPractitioner.json                      EmigaUserPractitioner                Profile     StructureDefinitions\EmigaUserPractitioner.fsh                      1 - 98
StructureDefinition-FacilityAddressAffectedPerson.json              FacilityAddressAffectedPerson        Extension   Extensions\ExtensionFacilityAddressAffectedPerson.fsh               1 - 39
StructureDefinition-IdentifierEmigaFileNumber.json                  IdentifierEmigaFileNumber            Profile     StructureDefinitions\IdentifierEmigaFileNumber.fsh                  1 - 22
StructureDefinition-IdentifierEmigaID.json                          IdentifierEmigaID                    Profile     StructureDefinitions\IdentifierEmigaID.fsh                          1 - 22
StructureDefinition-IdentifierSurvNetFileNumber.json                IdentifierSurvNetFileNumber          Profile     StructureDefinitions\IdentifierSurvNetFileNumber.fsh                1 - 22
StructureDefinition-LandOfBirth.json                                LandOfBirth                          Extension   Extensions\ExtensionLandOfBirth.fsh                                 1 - 25
StructureDefinition-LastModifiedBy.json                             LastModifiedBy                       Extension   Extensions\ExtensionLastModifiedBy.fsh                              1 - 17
StructureDefinition-MatchOutputBundle.json                          MatchOutputBundle                    Profile     StructureDefinitions\MatchOutputBundle.fsh                          1 - 53
StructureDefinition-NullFlavor.json                                 NullFlavor                           Extension   Extensions\ExtensionNullFlavor.fsh                                  1 - 23
StructureDefinition-ProcessingStatus.json                           ProcessingStatus                     Extension   Extensions\ExtensionProcessingStatus.fsh                            1 - 23
StructureDefinition-RegionalKey.json                                RegionalKey                          Extension   Extensions\ExtensionRegionalKey.fsh                                 1 - 31
StructureDefinition-Salutation.json                                 Salutation                           Extension   Extensions\ExtensionSalutation.fsh                                  1 - 23
ValueSet-AnnotationCategoryVS.json                                  AnnotationCategoryVS                 ValueSet    ValueSets\AnnotationCategoryVS.fsh                                  1 - 11
